"Raw Data File","tracer molecule","labelled positions","abundance","Parameter Value[injection]","Parameter Value[Replicate]","Factor Value[Incubation time]","Metabolite name","CHEBI identifier","atomic positions to the parent molecule/metabolite name","Empirical formula derivatized molecule/fragment","m/z monitored","signal intensity","isotopologue","isotologue abundance relative concentration"
"RibHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",409,"",NA
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",1074,"",NA
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",1314620,"Rib_13C0",85.727
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",231912,"Rib_13C1",4.761
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",153365,"Rib_13C2",7.178
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",30596,"Rib_13C3",0.968
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",26741,"Rib_13C4",1.346
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",2661,"Rib_13C5",0.02
"RibHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",622,"",NA
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",896,"",NA
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",1208501,"Rib_13C0",85.68
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",216171,"Rib_13C1",4.964
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",139574,"Rib_13C2",7.055
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",27329,"Rib_13C3",0.924
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",24551,"Rib_13C4",1.348
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",2598,"Rib_13C5",0.029
"RibHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",696,"",NA
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",566,"",NA
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",413236,"Rib_13C0",85.631
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",73551,"Rib_13C1",4.887
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",47638,"Rib_13C2",7.04
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",10322,"Rib_13C3",1.118
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",8394,"Rib_13C4",1.33
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",691,"Rib_13C5",-0.006
"RibHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",136,"",NA
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",770,"",NA
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",616545,"Rib_13C0",85.482
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",109939,"Rib_13C1",4.906
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",72656,"Rib_13C2",7.234
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",14300,"Rib_13C3",0.95
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",13146,"Rib_13C4",1.422
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",1191,"Rib_13C5",0.007
"RibHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",362,"",NA
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",721,"",NA
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",771861,"Rib_13C0",85.555
